學校簡稱,學校電話,學校網址,學校郵遞區號
南湖高中,(02)26308889,http://www.nhush.tp.edu.tw,114
建國中學,(02)23034381,http://www.ck.tp.edu.tw/,100
政大附中,(02)82377500,http://www.ahs.nccu.edu.tw/,116
師大附中,(02)27075215,http://www.hs.ntnu.edu.tw/,106
泰北高中,(02)28825560,http://web01.tpsh.tp.edu.tw/bin/home.php,111
強恕高中,(02)23656570,http://www.qshs.tp.edu.tw/,100
惇敘工商,(02)28912630,http://www.thvs.tp.edu.tw,112
啟明學校(臺北市),(02)28740670,http://www.tmsb.tp.edu.tw/tmsb/,111
啟智學校(臺北市),(02)28749117,http://www.tpmr.tp.edu.tw,111
啟聰學校(臺北市),(02)25924446,http://www.tmd.tp.edu.tw/,103
喬治工商,(02)27386515,http://www.gvs.tp.edu.tw,106
復興高中,(02)28914131,http://www.fhsh.tp.edu.tw/,112
復興實驗高中,(02)27715859,http://www.fhjh.tp.edu.tw/index.htm,106
景文高中,(02)29390310,http://www.jwsh.tp.edu.tw/,116
景美女中,(02)29368847,http://web.cmgsh.tp.edu.tw,116
華江高中,(02)23019946,http://www.hcsh.tp.edu.tw/,108
華岡藝校,(02)28612354,http://www.hka.edu.tw,111
華興中學,(02)28316834,http://www.hhhs.tp.edu.tw/,111
開平餐飲,(02)27556939,http://www.kpvs.tp.edu.tw,106
開南商工,(02)23212666,http://www.knvs.tp.edu.tw,100
陽明高中,(02)28316675,http://www.ymsh.tp.edu.tw/,111
萬芳高中,(02)22309585,http://www.wfsh.tp.edu.tw/,116
達人女中,(02)27956899,http://www.trgsh.tp.edu.tw/,114
滬江中學,(02)86631122,http://www.hchs.tp.edu.tw/,116
稻江高商,(02)25912001,http://www.tkcvs.tp.edu.tw,103
稻江護家,(02)25955161,http://www.tcnvs.tp.edu.tw,104
衛理女中,(02)28411487,http://www.wlgsh.tp.edu.tw/wesley/index.php,111
靜修女中,(02)25574345,http://www.bish.tp.edu.tw/,103
薇閣高中,(02)28913630,http://www.wghs.tp.edu.tw/,112
麗山高中,(02)26570435,http://www.lssh.tp.edu.tw/,114
公東高工,(089)222877,http://www.ktus.ttct.edu.tw,950
台東女中,(089)321268,http://www.tgsh.ttct.edu.tw/,950
成功商水,(089)850011,http://www.ckvs.ttct.edu.tw,961
育仁中學,(089)382839,http://www.lotus.ttct.edu.tw/index2.php,950
東大附特,(089)229912,http://www.nttusps.nttu.edu.tw/,950
臺東高中,(089)322070,http://www.pttsh.ttct.edu.tw/,950
臺東高商,(089)350575,http://www.tscvs.ttct.edu.tw,950
臺東縣均一高中,(089)223301,http://junyi.tw/,950
臺東體中,(089)383629,http://www.ntpehs.ttct.edu.tw/,950
關山工商,(089)811006,http://www.ksvs.ttct.edu.tw/ezindex1.php,956
蘭嶼高中,(089)732016,http://www.layjh.ttct.edu.tw/,952
土城高中,(06)2577014,http://www.tcjh.tn.edu.tw/,709
大灣高中,(06)2714223,http://www.dwhs.tn.edu.tw/,710
六信高中,(06)2619885,http://www.lhvs.tn.edu.tw/,702
北門高中,(06)7222150,http://www.pmsh.tnc.edu.tw/,722
北門農工,(06)7260148,http://www.pmai.tnc.edu.tw,722
永仁高中,(06)3115538,http://www.yrhs.tn.edu.tw,710
玉井工商,(06)5741101,http://www.ycvs.tn.edu.tw,714
白河商工,(06)6852054,http://www.phvs.tn.edu.tw,732
光華高中,(06)2386501,http://www.khgs.tn.edu.tw/,701
育德工家,(06)6563275,http://www.ytvs.tnc.edu.tw/,730
亞洲餐旅,(06)2640175,http://www.asvs.tn.edu.tw,702
明達高中,(06)6521178,http://www.mdsh.tnc.edu.tw/,737
長榮女中,(06)2740381,http://www.ckgsh.tn.edu.tw/,701
長榮高中,(06)2381711,http://www.cjshs.tn.edu.tw/index2.aspx,701
南大附中,(06)2338501,http://210.59.18.242/main.php,710
南大附聰,(06)5900504,http://www.tndsh.tn.edu.tw/,712
南光高中,(06)6335408,http://www.nkhs.tnc.edu.tw/,730
南科實驗高中,(06)5052916;(06)5052926,http://163.26.206.131/web/index.php,744
南英商工,(06)2132222,http://www.nyvs.tn.edu.tw,700
南寧中學,(06)2622458,http://www.nnjh.tn.edu.tw/,702
後壁高中,(06)6871031,http://www.hpsh.tnc.edu.tw/,731
家齊高中,(06)2133265,http://www.ccgsh.tn.edu.tw/,700
崑山高中,(06)2364408,http://www.kssh.tn.edu.tw/,704
曾文家商,(06)5722079,http://www.twvs.tnc.edu.tw,721
曾文農工,(06)5721137,http://www.twivs.tnc.edu.tw,721
港明高中,(06)7952025,http://www.kmsh.tnc.edu.tw/,723
善化高中,(06)5837312,http://www.shsh.tnc.edu.tw/,741
陽明工商,(06)6901190,http://www.ymvs.tnc.edu.tw,720
慈幼工商,(06)2362106,http://www.ssvs.tn.edu.tw,701
慈濟高中,(06)2932323,http://www.tcsh.tn.edu.tw/,708
新化高工,(06)5903994,http://www.hhvs.tn.edu.tw,712
新化高中,(06)5982065,http://www.hhsh.tn.edu.tw/,712
新榮高中,(06)6222222,http://www.srsh.tnc.edu.tw/,736
新營高工,(06)6322377,http://www.hyivs.tnc.edu.tw,730
新營高中,(06)6562275,http://w3.hysh.tn.edu.tw/www/home.php,730
新豐高中,(06)2304082,http://www.sfsh.tn.edu.tw/,711
聖功女中,(06)2740126,http://www.skgsh.tn.edu.tw/,704
臺南一中,(06)2371206,http://www.tnfsh.tn.edu.tw/,701
臺南二中,(06)2514526,http://www.tnssh.tn.edu.tw/,704
臺南女中,(06)2131928,http://www.tngs.tn.edu.tw/,700
臺南海事,(06)3910772,http://www.tnvs.tn.edu.tw,708
臺南高工,(06)2322131,http://www.ptivs.tnc.edu.tw/front/bin/home.phtml,710
臺南高商,(06)2919226,http://www.tncvs.tn.edu.tw,702
臺南啟智學校,(06)3554591,http://www.tnmr.tn.edu.tw/,709
鳳和高級中學,(06)6223208,http://www.fhsh.tn.edu.tw/,736
德光中學,(06)2894560,http://www.tkgsh.tn.edu.tw/,701
黎明高中,(06)5717123,http://www.lmsh.tnc.edu.tw/,721
興國高中,(06)6352201,http://www.hkhs.tnc.edu.tw/,730
瀛海高中,(06)2568582,http://www.yhsh.tn.edu.tw/,709
中道高中,(03)9306696,http://www.cdsh.ilc.edu.tw/,263
宜蘭特殊教育學校,(03)9509788,http://www.isse.ilc.edu.tw,268
宜蘭高中,(03)9324154,http://www.ylsh.ilc.edu.tw/,260
宜蘭高商,(03)9384147,http://school.ilvs.ilc.edu.tw/front/bin/home.phtml,260
南澳高中,(03)9981024,http://blog.ilc.edu.tw/blog/blog/4907,272
慈心華德福,(03)9596222,http://,269
慧燈高中,(03)9229968,http://www.hdsh.ilc.edu.tw/,264
頭城家商,(039)9771131,http://www.tcvs.ilc.edu.tw,261
羅東高工,(03)9514196,http://web.ltivs.ilc.edu.tw/bin/home.php,269
羅東高中,(03)9567645,http://120.101.70.22/bin/home.php,265
羅東高商,(03)9512875,http://www.ltcvs.ilc.edu.tw,265
蘇澳海事,(03)9951661,http://www.savs.ilc.edu.tw,270
蘭陽女中,(03)9333821,http://www.lygsh.ilc.edu.tw/,260
上騰工商,(03)8538565,http://www.chvs.hlc.edu.tw,97367
四維高中,(03)8561369,http://www.swsh.hlc.edu.tw/,970
玉里高中,(03)8886171,http://www.ylsh.hlc.edu.tw/,981
光復商工,(03)8700245,http://www.kfcivs.hlc.edu.tw,976
花蓮女中,(03)8321202,http://www.hlgs.hlc.edu.tw/,970
花蓮特教學校,(03)8544225,http://www.hlmrs.hlc.edu.tw/default.asp,973
花蓮高工,(03)8226108,http://www.hlis.hlc.edu.tw,970
花蓮高中,(03)8242236,http://www.hlhs.hlc.edu.tw/,970
花蓮高商,(03)8312246,http://www.hlbh.hlc.edu.tw,970
花蓮高農,(03)8312301,http://www.hla.hlc.edu.tw,970
花蓮體育高中,(03)8462610,http://www.hpehs.hlc.edu.tw/,970
海星高中,(03)8223116,http://www.smhs.hlc.edu.tw/,971
慈大附中,(03)8572823,http://203.68.24.4/,970
金門高中,(082)326582,http://www.kmsh.km.edu.tw/,893
金門農工,(082)33508,http://www.kmvs.km.edu.tw,891
三育高中,(049)2897212,http://www.taa.ntct.edu.tw/,555
中興高中,(049)2331014,http://www.chsh.ntct.edu.tw/,540
五育高中,(049)2246346,http://www.wu-yu.ntct.edu.tw/,540
仁愛高農,(049)2802619,http://www.ravs.ntct.edu.tw,546
水里商工,(049)2870666,http://www.slvs.ntct.edu.tw,553
弘明實驗高中,(049)2731799,http://www.holdmean.org.tw,551
同德家商,(049)2553109,http://www.tdvs.ntct.edu.tw,542
旭光高中,(049)2563472,http://www.skjhs.ntct.edu.tw/,542
竹山高中,(049)2643344,http://www.cshs.ntct.edu.tw/,557
南投特教,(049)2390773,http://www.ntss.ntct.edu.tw/,540
南投高中,(049)2231175,http://163.22.35.7/,540
南投高商,(049)2222269,http://www.pntcv.ntct.edu.tw,540
埔里高工,(049)2982225,http://www.plvs.ntct.edu.tw,545
草屯商工,(049)2362082,http://www.ttvs.ntct.edu.tw,542
普台高中,(049)2932899,http://www.ptsh.ntct.edu.tw/,545
暨大附中,(049)2913483,http://www.pshs.ntct.edu.tw/,545
大同高中,(08)7663916,http://web.dtjh.ptc.edu.tw,900
內埔農工,(08)7991103,http://www.npvs.ptc.edu.tw,912
日新工商,(08)7882343,http://www.jhvs.ptc.edu.tw,920
民生家商,(08)7239826,http://www.msvs.ptc.edu.tw,900
來義高中,(08)7850086,http://www.lyhs.ptc.edu.tw,922
枋寮高中,(08)8782095,http://www.fljh.ptc.edu.tw/,940
東港海事,(08)8333131,http://www.tkms.ptc.edu.tw,928
東港高中,(08)8322014,http://www.dkjh.ptc.edu.tw/main.asp,928
屏北高中,(08)7937493,http://www.ppsh.ptc.edu.tw/,907
屏東女中,(08)7362204,http://www.ptgsh.ptc.edu.tw/,900
屏東特殊教育學校,(08)7805510,http://web.pses.ptc.edu.tw/default1.asp,920
屏東高工,(08)7523781,http://www.ptivs.ptc.edu.tw,900
屏東高中,(08)7667473,http://www.pths.ptc.edu.tw/,900
屏榮高中,(08)7223409,http://www.prvs.ptc.edu.tw/,900
恆春工商,(08)8892010,http://www.hcvs.ptc.edu.tw,946
美和高中,(08)7792045,http://www.mhsh.ptc.edu.tw/,912
國立佳冬高農,(08)8662726,http://www.ctvs.ptc.edu.tw,931
陸興高中,(08)7225837,http://www.lssh.ptc.edu.tw/,900
華洲工家,(08)7521516,http://www.hcivs.ptc.edu.tw,900
潮州高中,(08)7882017,http://www.ccsh.ptc.edu.tw/ccsh2010/index.php,920
三義高中,(037)872015,http://www.sjh.mlc.edu.tw/,367
大同高中,(037)580566,http://www.dtjh.mlc.edu.tw/,350
大成高中,(037)663371,http://www.tcsh.mlc.edu.tw/,351
大湖農工,(037)992216,http://www.thvs.mlc.edu.tw,364
中興商工,(037)467360,http://www.csvs.mlc.edu.tw/bin/home.php,350
全人高中,(04)25896909,http://holistic.org.tw/,369
竹南高中,(037)476855,http://www.cnsh.mlc.edu.tw/,350
君毅高中,(037)622009,http://www.cish.mlc.edu.tw/,350
育民工家,(037)353888,http://www.ymvs.mlc.edu.tw,360
卓蘭高中,(04)25892007,http://www.cles.mlc.edu.tw/,369
建台高中,(037)353270,http://www.ctsh.mlc.edu.tw/,360
苗栗特殊教育學校,(037)266498,http://www.mlses.mlc.edu.tw/,360
苗栗高中,(037)320072,http://www.mlsh.mlc.edu.tw/,360
苗栗高商,(037)356001,http://www.mlvs.mlc.edu.tw,360
苗栗農工,(037)329281,http://www.mlaivs.mlc.edu.tw,360
苑裡高中,(037)861042,http://www.yljh.mlc.edu.tw/,358
國立苑裡高中,(037)868680,http://www.ylsh.mlc.edu.tw/,358
賢德工商,(037)751011,http://www.sdvs.mlc.edu.tw/,357
興華高中,(037)663403,http://www.shhs.mlc.edu.tw/,351
龍德家商,(037)851277,http://www.ldvs.mlc.edu.tw,358
大華高中,(03)4825507,http://www.thsh.tyc.edu.tw/,326
大園國際高中,(03)3813001,http://www.dysh.tyc.edu.tw/,337
大溪高中,(03)3878628,http://www.dssh.tyc.edu.tw,335
大興高中,(03)3862330,http://www.tsvs.tyc.edu.tw/,337
中大壢中,(03)4932181,http://www.clhs.tyc.edu.tw/,320
中壢家商,(03)4271627,http://www.clvs.tyc.edu.tw/,320
中壢高商,(03)4929871,http://www.clvsc.tyc.edu.tw/bin/home.php,320
內壢高中,(03)4528080,http://www.nlhs.tyc.edu.tw/,320
六和高中,(03)4204000,http://www.lhvs.tyc.edu.tw/,324
方曙商工,(03)4796345,http://www.fsvs.tyc.edu.tw,325
平鎮高中,(03)4287288,http://www.pjhs.tyc.edu.tw/,324
永平工商,(03)4822464,http://www.ypvs.tyc.edu.tw,326
永豐高中,(03)3692679,http://www.yfms.tyc.edu.tw/,334
光啟高中,(02)82098313,http://www.phsh.tyc.edu.tw/,333
成功工商,(03)3294188,http://www.ckvs.tyc.edu.tw,333
至善高中,(03)3887528,http://www.lovejs.tw/,335
育達高中,(03)4934101,http://www.yuda.tyc.edu.tw/,324
武陵高中,(03)3698170,http://www.wlsh.tyc.edu.tw/,330
治平高中,(03)4823636,http://www.cpshs.tyc.edu.tw/,326
南崁高中,(03)3525580,http://www.nksh.tyc.edu.tw,338
振聲高中,(03)3322605,http://www.fxsh.tyc.edu.tw/,330
桃園高中,(03)3946013,http://www.tysh.tyc.edu.tw/,330
桃園啟智學校,(03)3647099,http://203.71.245.1,330
國立北科附工,(03)3333921,http://www.tyai.tyc.edu.tw,330
啟英高中,(03)4523036,http://www.cyvs.tyc.edu.tw/,320
清華高中,(03)4771196,http://www.chvs.tyc.edu.tw/,327
復旦高級中等學校,(03)4932476,http://www.fths.tyc.edu.tw/,324
陽明高中,(03)3645761,http://www.pymhs.tyc.edu.tw/,330
新興高中,(03)3796996,http://www.hshs.tyc.edu.tw/,334
楊梅高中,(03)4789618,http://www.ymhs.tyc.edu.tw/,326
壽山高中,(03)3501778,http://www.sssh.tyc.edu.tw,333
漢英高級中學,(03)4711388,http://www.cchs.tyc.edu.tw/cchs/main.php,325
龍潭高中,(03)4792829,http://www.ltsh.tyc.edu.tw/bin/home.php,325
觀音高中,(03)4981464,http://www.gish.tyc.edu.tw/gish/htdocs/,328
三民家商,(07)5525887,http://www.smvhs.kh.edu.tw,813
三民高中,(07)3475181,http://www.smhs.kh.edu.tw/,807
三信家商,(07)7517171,http://163.32.84.1/sansin2017/index.html,802
大榮高中,(07)5613281,http://www.dystcs.kh.edu.tw/,804
小港高中,(07)8062627,http://www.hkhs.kh.edu.tw/,812
中山大學附中,(07)3603600,http://www.kksh.kh.edu.tw/,811
中山工商,(07)7815311,http://www.csic.khc.edu.tw,831
中山高中,(07)3641116,http://www.cshs.kh.edu.tw/,811
中正高工,(07)7232301,http://www.ccvs.kh.edu.tw,806
中正高中,(07)7491992,http://www.cchs.kh.edu.tw/,802
中正預校,(07)7414188,http://www.ccafps.khc.edu.tw,830
中華藝校,(07)5549696,http://www.charts.kh.edu.tw/index1.htm,804
仁武高中,(07)3721640,http://www.rwm.ks.edu.tw/,814
六龜高中,(07)6891023,http://www.lgm.ks.edu.tw/,844
天主教道明高級中學,(07)2240711,http://www.dmhs.kh.edu.tw/,802
文山高中,(07)7777272,http://www.wsm.ks.edu.tw/,833
左營高中,(07)5822010,http://www.tyhs.edu.tw/,813
正義高中,(07)7225529,http://www.cysh.khc.edu.tw/,830
立志中學,(07)3922601,http://163.32.74.149/199/index.php,807
成功啟智學校,(07)3304624,http://www.ckmr.kh.edu.tw,806
岡山高中,(07)6212033,http://www.kssh.khc.edu.tw/,820
岡山農工,(07)6217129,http://www.ksvs.khc.edu.tw,820
明誠高中,(07)5521593,http://www.mcsh.kh.edu.tw/,804
林園高中,(07)6412059,http://www.ly.ks.edu.tw/,832
前鎮高中,(07)8125147,http://www.cjhs.kh.edu.tw/,806
海青工商,(07)5819155,http://www.hcvs.kh.edu.tw,813
高英工商,(07)7832991,http://210.60.110.1,831
高苑工商,(07)6111101,http://www.kyvs.ks.edu.tw,825
高師大附中,(07)7613875,http://www.nknush.kh.edu.tw/,802
高雄女中,(07)2115418,http://www.kghs.kh.edu.tw/,801
高雄中學,(07)2862550,http://www.kshs.kh.edu.tw/,807
高雄仁武特殊教育學校,(07)3749788,http://w3.ses.ks.edu.tw/front/bin/home.phtml,814
高雄高工,(07)3815366,http://www.ksvs.kh.edu.tw,807
高雄高商,(07)2269975,http://www.ksvcs.kh.edu.tw,800
高雄啟智學校,(07)2235940,http://www.kmsmr.kh.edu.tw/,802
高鳳工家,(07)8010534,http://www.kfvhs.kh.edu.tw,812
高餐大附中,(07)8060705,http://nkhhs.nkuht.edu.tw/,812
國際商工,(07)7228565,http://www.kcvs.kh.edu.tw,802
復華高中,(07)3344168,http://www.fhhs.kh.edu.tw/,802
普門高中,(07)6562676,http://www.pmsh.khc.edu.tw/,840
華德工家,(07)6921212,http://www.htvs.ks.edu.tw,852
新光高中,(07)7019888,http://www.lysh.khc.edu.tw/,831
新莊高中,(07)3420103,http://www.hchs.kh.edu.tw/,813
新興高中,(07)2727127,http://www.hhhs.kh.edu.tw/,800
楠梓特殊學校,(07)3642007,http://www.nzsmr.kh.edu.tw,811
楠梓高中,(07)3550571,http://www.nths.kh.edu.tw/,811
瑞祥高中,(07)8152271,http://www.rssh.kh.edu.tw/,806
義大國際高中,(07)6577115,http://www.isis.ks.edu.tw,840
路竹高中,(07)6963008,http://www.lchs.ks.edu.tw/,821
鼓山高中,(07)5213258,http://www.kusjh.kh.edu.tw/,804
旗山農工,(07)6612501,http://www.csvs.khc.edu.tw,842
旗美高中,(07)6612502,http://www.cmsh.khc.edu.tw/,842
旗美商工,(07)6812152,http://www.cmvs.ks.edu.tw,843
福誠高中,(07)8224646,http://www.ftm.ks.edu.tw/,830
鳳山高中,(07)7463150,http://www.fssh.khc.edu.tw/,830
鳳山商工,(07)7462602,http://www.fsvs.ks.edu.tw,830
鳳新高中,(07)7658288,http://www.fhsh.khc.edu.tw/,830
樹德家商,(07)3848622,http://www.shute.kh.edu.tw,807
二信高中,(02)24623131,http://www.essh.kl.edu.tw/,202
八斗高中,(02)24692366,http://www.bdjh.kl.edu.tw/,202
中山高中,(02)24248191,http://www.csjh.kl.edu.tw/,203
光隆家商,(02)24222237,http://www.klhcvs.kl.edu.tw/,201
安樂高中,(02)24236600,http://www.aljh.kl.edu.tw/,204
基隆女中,(02)24278274,http://www.klgsh.kl.edu.tw/,201
基隆海事,(02)24633655,http://www.klvs.kl.edu.tw,202
基隆特教學校,(02)24526332,http://,206
基隆高中,(02)24570931,http://www.klsh.kl.edu.tw/,205
基隆商工,(02)24567126,http://www.klcivs.kl.edu.tw,206
基隆輔大聖心高中,(02)24282454,http://www.shsh.kl.edu.tw/,203
培德工家,(02)24652121,http://www.ptvs.kl.edu.tw,201
暖暖高中,(02)24575534,http://www.nnjh.kl.edu.tw/,205
馬祖高中,(0836)25045,http://www.mssh.matsu.edu.tw/,209
土庫商工,(05)6622538,http://www.tkvs.ylc.edu.tw,633
大成商工,(05)6322534,http://www.tcvhs.ylc.edu.tw,632
大德工商,(05)5973333,http://www.ddvs.ylc.edu.tw,630
文生高中,(05)7872024,http://www.svsh.ylc.edu.tw/,654
斗六高中,(05)5322039,http://www.tlsh.ylc.edu.tw/,640
斗南高中,(05)5972059,http://www.tnjh.ylc.edu.tw/,630
北港高中,(05)7821411,http://www.pksh.ylc.edu.tw/,651
北港農工,(05)7832246,http://www.pkvs.ylc.edu.tw,651
古坑華德福實驗高中,(05)6341003;(05)5828199,http://tw.school.uschoolnet.com/?id=es00003779,646
巨人高中,(05)7835937,http://www.tssh.ylc.edu.tw/,651
正心高中,(05)5512502,http://www.shsh.ylc.edu.tw/,640
永年高中,(05)6622540,http://www.ynhs.ylc.edu.tw/,633
西螺農工,(05)5862024,http://www.hlvs.ylc.edu.tw,648
虎尾高中,(05)6337592,http://www.hwsh.ylc.edu.tw/,632
虎尾農工,(05)6322767,http://www.hwaivs.ylc.edu.tw,632
國立斗六家商,(05)5322147,http://www.tlhc.ylc.edu.tw,640
麥寮高中,(05)6932050,http://www.mljh.ylc.edu.tw/,638
揚子高中,(05)6330181,http://www.ytjh.ylc.edu.tw/,632
雲林特殊教育學校,(05)5969241,http://www.nyses.ylc.edu.tw/,630
義峰高中,(05)5800099,http://www.yfsh.ylc.edu.tw/,643
福智高中,(05)5828222,http://bwsh.ylc.edu.tw,646
維多利亞高中,(05)5378899,http://,640
三民高中,(02)22894675,http://www.smsh.tpc.edu.tw/,247
三重高中,(02)29760501,http://www.schS.Ntpc.edu.tw/,241
三重商工,(02)29715606,http://www.scvs.ntpc.edu.tw/bin/home.php,241
中和高中,(02)22227146,http://www.chshs.ntpc.edu.tw/,235
中華高中,(02)22693641,http://www.chsh.ntpc.edu.tw/,236
中華商海,(02)24922119,http://www.chmvs.tpc.edu.tw,207
丹鳳高中,(02)29089627,http://www.dfsh.ntpc.edu.tw/,242
及人高中,(02)22112581,http://www.cjsh.ntpc.edu.tw/,231
北大高中,(02)26742666,http://www.bdsh.ntpc.edu.tw/default.asp,237
永平高中,(02)22319670,http://163.20.152.6/,234
石碇高中,(02)26631224,http://www.sdhs.tpc.edu.tw/,223
光仁高中,(02)29615161,http://www.kjsh.ntpc.edu.tw/bin/home.php,220
光復高中,(02)29582366,http://www.gfhs.ntpc.edu.tw/,220
安康高中,(02)22111743,http://www.akhs.ntpc.edu.tw/,231
竹林高中,(02)29425074,http://www.clsh.ntpc.edu.tw/,235
竹圍高中,(02)28091557,http://www.zwhs.ntpc.edu.tw/default.asp,251
